date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:30	2419/2419	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/logo/20.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/logo/20.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:30	14209/14209	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/slider/38.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/slider/38.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:31	25991/25991	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:51%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/slider/39.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/slider/39.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:31	15883/15883	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/background/16.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/background/16.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:32	11826/11826	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/background/17.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/background/17.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:32	133090/133090	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/extra/7.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/extra/7.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:32	59806/59806	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/5.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/5.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:32	104039/104039	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/height-19.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/height-19.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:32	65929/65929	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/height-16.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/height-16.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:33	66511/66511	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/height-17.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/height-17.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:33	58736/58736	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/height-18.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/height-18.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:33	131930/131930	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/products/height-20.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/products/height-20.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:33	5479/5479	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/shape/5.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/shape/5.png	(from https://unicoderbd.com/template/bigbazar/index-fatloss.html)
19:33:34	3592/3592	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jun%202024%2001:24:48%20GMT	https://unicoderbd.com/template/bigbazar/assets/css/category/handicruft.css	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/css/category/handicruft.css	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:34	2085/2085	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:49%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/logo/21.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/logo/21.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:35	74059/74059	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/100.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/100.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
19:33:35	137547/137547	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jun%202024%2001:24:50%20GMT	https://unicoderbd.com/template/bigbazar/assets/images/banner/102.png	D:/SHENLUNG/BEAUTYSTORY/html/beauty/unicoderbd.com/template/bigbazar/assets/images/banner/102.png	(from https://unicoderbd.com/template/bigbazar/index-handicruft.html)
